iteration,best_solution,average_solution
877,3200,3221.3
878,3200,3221.3
879,3200,3221.3
880,3200,3224.54
881,3200,3221.94
882,3200,3221.94
883,3200,3221.94
884,3200,3231.26
885,3200,3231.26
886,3200,3231.26
887,3200,3231.26
888,3200,3227.7
889,3200,3225.0
890,3200,3220.14
891,3200,3220.14
892,3200,3220.14
893,3200,3216.54
894,3200,3216.54
895,3200,3216.54
896,3200,3216.54
897,3200,3216.54
898,3200,3221.0
899,3200,3221.0
900,3200,3221.0
901,3200,3221.0
902,3200,3221.0
903,3200,3221.0
904,3200,3221.0
905,3200,3221.0
906,3200,3221.0
907,3200,3230.62
908,3200,3230.62
909,3200,3230.62
910,3200,3230.62
911,3200,3230.62
912,3200,3230.62
913,3200,3230.62
914,3200,3230.62
915,3200,3230.62
916,3200,3230.62
917,3200,3221.0
918,3200,3221.0
919,3200,3221.0
920,3200,3221.0
921,3200,3223.7
922,3200,3223.7
923,3200,3223.7
924,3200,3223.7
925,3200,3223.7
926,3200,3223.7
927,3200,3223.7
928,3200,3223.7
929,3200,3223.7
930,3200,3223.7
931,3200,3223.7
932,3200,3223.7
933,3200,3223.7
934,3200,3223.7
935,3200,3223.92
936,3200,3223.92
937,3200,3223.92
938,3200,3223.92
939,3200,3223.92
940,3200,3223.92
941,3200,3223.92
942,3200,3221.22
943,3200,3221.22
944,3200,3221.22
945,3200,3221.22
946,3200,3217.98
947,3200,3217.98
948,3200,3208.66
949,3200,3208.66
950,3200,3208.66
951,3200,3208.66
952,3200,3206.72
953,3200,3202.26
954,3200,3202.26
955,3200,3202.26
956,3200,3202.26
957,3200,3202.26
958,3200,3202.04
959,3200,3202.04
960,3200,3202.04
961,3200,3202.04
962,3200,3202.04
963,3200,3202.04
964,3200,3202.04
965,3200,3202.04
966,3200,3202.04
967,3200,3204.0
968,3200,3204.0
969,3200,3204.0
970,3200,3204.0
971,3200,3202.04
972,3200,3202.04
973,3200,3202.04
974,3200,3202.04
975,3200,3202.04
976,3200,3202.04
977,3200,3202.04
978,3200,3202.04
979,3200,3202.04
980,3200,3202.04
981,3200,3202.04
982,3200,3202.04
983,3200,3202.04
984,3200,3202.04
985,3200,3202.04
986,3200,3202.04
987,3200,3202.04
988,3200,3209.02
989,3200,3209.02
990,3200,3209.02
991,3200,3209.02
992,3200,3209.02
993,3200,3202.04
994,3200,3209.9
995,3200,3209.9
996,3200,3209.9
997,3200,3209.9
998,3200,3209.9
999,3200,3209.9
1000,3200,3209.9
1001,3200,3209.9
1002,3200,3209.9
1003,3200,3209.9
1004,3200,3209.9
1005,3200,3213.12
1006,3200,3213.12
1007,3200,3213.12
1008,3200,3213.12
1009,3200,3213.12
1010,3200,3213.12
1011,3200,3213.12
1012,3200,3213.12
1013,3200,3213.12
1014,3200,3213.12
1015,3200,3213.12
1016,3200,3213.12
1017,3200,3213.12
1018,3200,3213.12
1019,3200,3213.12
1020,3200,3213.12
1021,3200,3213.12
1022,3200,3218.44
1023,3200,3218.44
1024,3200,3218.44
1025,3200,3218.44
1026,3200,3222.24
1027,3200,3222.24
1028,3200,3222.24
1029,3200,3222.24
1030,3200,3222.24
1031,3200,3225.82
1032,3200,3225.82
1033,3200,3225.82
1034,3200,3225.82
1035,3200,3225.82
1036,3200,3225.82
1037,3200,3225.82
1038,3200,3225.82
1039,3200,3217.96
1040,3200,3221.76
1041,3200,3230.28
1042,3200,3230.28
1043,3200,3230.28
1044,3200,3230.28
1045,3200,3230.28
1046,3200,3230.28
1047,3200,3230.28
1048,3200,3230.28
1049,3200,3224.96
1050,3200,3224.96
1051,3200,3224.96
1052,3200,3221.16
1053,3200,3221.16
1054,3200,3221.16
1055,3200,3221.16
1056,3200,3222.64
1057,3200,3222.64
1058,3200,3222.64
1059,3200,3222.64
1060,3200,3229.0
1061,3200,3229.0
1062,3200,3229.0
1063,3200,3229.0
1064,3200,3229.0
1065,3200,3229.0
1066,3200,3229.0
1067,3200,3222.64
1068,3200,3222.64
1069,3200,3222.64
1070,3200,3222.64
1071,3200,3222.64
1072,3200,3222.64
1073,3200,3222.64
1074,3200,3222.64
1075,3200,3224.1
1076,3200,3224.1
1077,3200,3224.1
1078,3200,3226.02
