,Generation,Best Solution,m,n,k,Iteration
2,1000,32063,3,5,10,7
1,10000,25189,3,5,10,7
0,20000,23803,3,5,10,7
2,1000,32930,3,5,20,7
1,10000,26809,3,5,20,7
0,20000,24547,3,5,20,7
2,1000,32813,3,5,50,7
1,10000,28105,3,5,50,7
0,20000,26836,3,5,50,7
2,1000,25676,3,8,10,7
1,10000,23236,3,8,10,7
0,20000,23207,3,8,10,7
2,1000,27642,3,8,20,7
1,10000,24164,3,8,20,7
0,20000,23617,3,8,20,7
2,1000,26352,3,8,50,7
1,10000,25381,3,8,50,7
0,20000,24371,3,8,50,7
2,1000,28357,5,3,10,7
1,10000,24157,5,3,10,7
0,20000,22644,5,3,10,7
2,1000,26252,5,3,20,7
1,10000,24801,5,3,20,7
0,20000,24164,5,3,20,7
2,1000,26808,5,3,50,7
1,10000,24703,5,3,50,7
0,20000,24416,5,3,50,7
2,1000,25377,5,5,10,7
1,10000,23424,5,5,10,7
0,20000,22783,5,5,10,7
2,1000,30477,5,5,20,7
1,10000,27841,5,5,20,7
0,20000,24589,5,5,20,7
2,1000,32883,5,5,50,7
1,10000,25949,5,5,50,7
0,20000,24589,5,5,50,7
2,1000,31190,5,8,10,7
1,10000,22690,5,8,10,7
0,20000,22432,5,8,10,7
2,1000,29467,5,8,20,7
1,10000,25080,5,8,20,7
0,20000,23142,5,8,20,7
2,1000,31501,5,8,50,7
1,10000,28736,5,8,50,7
0,20000,24873,5,8,50,7
2,1000,27520,2,3,10,8
1,10000,26668,2,3,10,8
0,20000,24957,2,3,10,8
2,1000,26723,2,3,20,8
1,10000,24754,2,3,20,8
0,20000,23172,2,3,20,8
2,1000,27466,2,3,50,8
1,10000,26341,2,3,50,8
0,20000,25896,2,3,50,8
2,1000,28207,2,5,10,8
1,10000,25750,2,5,10,8
0,20000,24037,2,5,10,8
2,1000,39273,2,5,20,8
1,10000,34696,2,5,20,8
0,20000,32350,2,5,20,8
2,1000,32045,2,5,50,8
1,10000,29673,2,5,50,8
0,20000,27473,2,5,50,8
2,1000,30583,2,8,10,8
1,10000,25610,2,8,10,8
0,20000,24663,2,8,10,8
2,1000,31168,2,8,20,8
1,10000,28124,2,8,20,8
0,20000,26594,2,8,20,8
2,1000,30550,2,8,50,8
1,10000,29533,2,8,50,8
0,20000,27556,2,8,50,8
2,1000,27696,3,3,10,8
1,10000,23927,3,3,10,8
0,20000,23083,3,3,10,8
2,1000,29563,3,3,20,8
1,10000,27042,3,3,20,8
0,20000,25687,3,3,20,8
2,1000,32067,3,3,50,8
1,10000,28782,3,3,50,8
0,20000,27739,3,3,50,8
2,1000,25295,3,5,10,8
1,10000,23758,3,5,10,8
0,20000,22529,3,5,10,8
2,1000,25850,3,5,20,8
1,10000,25248,3,5,20,8
0,20000,23425,3,5,20,8
2,1000,26601,3,5,50,8
1,10000,25254,3,5,50,8
0,20000,24062,3,5,50,8
2,1000,42489,3,8,10,8
1,10000,29155,3,8,10,8
0,20000,24910,3,8,10,8
2,1000,27401,3,8,20,8
1,10000,24988,3,8,20,8
0,20000,23532,3,8,20,8
2,1000,31735,3,8,50,8
1,10000,26078,3,8,50,8
0,20000,24303,3,8,50,8
2,1000,26448,5,3,10,8
1,10000,23599,5,3,10,8
0,20000,23040,5,3,10,8
2,1000,24628,5,3,20,8
1,10000,24058,5,3,20,8
0,20000,22504,5,3,20,8
2,1000,25745,5,3,50,8
1,10000,24008,5,3,50,8
0,20000,22303,5,3,50,8
2,1000,32026,5,5,10,8
1,10000,24144,5,5,10,8
0,20000,22462,5,5,10,8
2,1000,29304,5,5,20,8
1,10000,24937,5,5,20,8
0,20000,23636,5,5,20,8
2,1000,30179,5,5,50,8
1,10000,26159,5,5,50,8
0,20000,25557,5,5,50,8
2,1000,25472,5,8,10,8
1,10000,22718,5,8,10,8
0,20000,22329,5,8,10,8
2,1000,27341,5,8,20,8
1,10000,25805,5,8,20,8
0,20000,24544,5,8,20,8
