iteration,best_solution,average_solution
879,25778,26154.2
880,25778,26120.06
881,25778,26120.06
882,25778,26120.06
883,25778,26120.06
884,25778,26120.06
885,25778,26120.06
886,25778,26120.06
887,25778,26120.06
888,25778,26120.06
889,25778,26120.06
890,25778,26120.06
891,25778,26028.7
892,25778,26028.7
893,25778,26028.7
894,25778,26028.7
895,25778,26028.7
896,25778,26097.78
897,25778,26097.78
898,25778,26097.78
899,25778,26097.78
900,25778,26097.78
901,25778,26118.1
902,25778,26065.98
903,25778,26065.98
904,25778,26065.98
905,25778,26157.02
906,25778,26157.02
907,25778,26157.02
908,25778,26225.92
909,25778,26225.92
910,25778,26157.02
911,25778,26157.02
912,25778,26157.02
913,25778,26157.02
914,25778,26157.02
915,25778,26157.02
916,25778,26157.02
917,25778,26157.02
918,25778,26157.02
919,25778,26136.7
920,25778,26136.7
921,25778,26136.7
922,25778,26136.7
923,25778,26136.7
924,25778,26136.7
925,25778,26136.7
926,25778,26136.7
927,25778,26079.68
928,25778,26079.68
929,25778,26079.68
930,25778,26004.1
931,25778,26004.1
932,25778,26004.1
933,25778,26004.1
934,25778,26004.1
935,25778,26004.1
936,25778,26004.1
937,25778,26004.1
938,25778,26004.1
939,25778,26004.1
940,25778,26004.1
941,25778,26004.1
942,25778,26004.1
943,25778,26004.1
944,25778,26004.1
945,25778,26004.1
946,25778,26004.1
947,25778,26004.1
948,25778,26004.1
949,25778,26094.22
950,25778,26094.22
951,25778,26094.22
952,25778,26094.22
953,25778,26094.22
954,25778,26094.22
955,25778,26094.22
956,25778,26151.14
957,25778,26189.24
958,25778,26189.24
959,25778,26189.24
960,25778,26189.24
961,25778,26189.24
962,25778,26189.24
963,25778,26189.24
964,25778,26189.24
965,25778,26189.24
966,25778,26216.96
967,25778,26216.96
968,25778,26216.96
969,25778,26216.96
970,25778,26216.96
971,25778,26216.96
972,25778,26216.96
973,25778,26253.02
974,25778,26253.02
975,25778,26253.02
976,25778,26253.02
977,25778,26253.02
978,25778,26183.94
979,25778,26183.94
980,25778,26183.94
981,25778,26183.94
982,25778,26234.16
983,25778,26234.16
984,25778,26234.16
985,25778,26234.16
986,25778,26234.16
987,25778,26183.94
988,25778,26183.94
989,25778,26145.84
990,25778,26145.84
991,25778,26145.84
992,25778,26145.84
993,25778,26145.84
994,25778,26145.84
995,25778,26112.36
996,25778,26055.44
997,25778,26055.44
998,25778,26055.44
999,25778,26055.44
1000,25778,26055.44
1001,25778,26055.44
1002,25778,26055.44
1003,25778,26055.44
1004,25778,26055.44
1005,25778,26055.44
1006,25778,26019.38
1007,25778,26019.38
1008,25778,26058.86
1009,25778,26058.86
1010,25778,26134.78
1011,25778,26134.78
1012,25778,26044.66
1013,25778,26044.66
1014,25778,26044.66
1015,25778,26044.66
1016,25778,26044.66
1017,25778,26044.66
1018,25778,26044.66
1019,25778,26044.66
1020,25778,26044.66
1021,25778,26044.66
1022,25778,26044.66
1023,25778,26044.66
1024,25778,26044.66
1025,25778,26044.66
1026,25778,26083.74
1027,25778,26056.02
1028,25778,26056.02
1029,25778,26056.02
1030,25778,26056.02
1031,25778,26056.02
1032,25778,26056.02
1033,25778,26016.94
1034,25778,26016.94
1035,25778,26016.94
1036,25778,26016.94
1037,25778,26016.94
1038,25778,26016.94
1039,25778,26016.94
1040,25778,25941.02
1041,25778,25941.02
1042,25778,25941.02
1043,25778,25941.02
1044,25778,25941.02
1045,25778,25941.02
1046,25778,25941.02
1047,25778,25941.02
1048,25778,25941.02
1049,25778,25941.02
1050,25778,25908.52
1051,25778,25908.52
1052,25778,25908.52
1053,25778,25817.48
1054,25778,25848.24
1055,25778,25848.24
1056,25778,25817.48
1057,25778,25817.48
1058,25778,25817.48
1059,25778,25817.48
1060,25778,25817.48
1061,25778,25778.0
1062,25778,25778.0
1063,25778,25778.0
1064,25778,25778.0
1065,25778,25778.0
1066,25778,25778.0
1067,25778,25778.0
1068,25778,25811.7
1069,25778,25811.7
1070,25778,25811.7
1071,25778,25811.7
1072,25778,25811.7
1073,25778,25811.7
1074,25778,25811.7
1075,25778,25811.7
1076,25778,25811.7
1077,25778,25892.72
1078,25778,25892.72
1079,25778,25892.72
1080,25778,25892.72
1081,25778,25811.7
1082,25778,25811.7
1083,25778,25879.16
1084,25778,25879.16
1085,25778,25811.7
1086,25778,25811.7
1087,25778,25811.7
1088,25778,25811.7
1089,25778,25811.7
1090,25778,25811.7
1091,25778,25811.7
1092,25778,25811.7
1093,25778,25811.7
1094,25778,25811.7
1095,25778,25811.7
1096,25778,25811.7
1097,25778,25778.0
1098,25778,25778.0
1099,25778,25778.0
1100,25778,25778.0
1101,25778,25778.0
1102,25778,25778.0
1103,25778,25778.0
1104,25778,25778.0
1105,25778,25778.0
1106,25778,25778.0
1107,25778,25778.0
1108,25778,25778.0
1109,25778,25778.0
1110,25778,25835.22
1111,25778,25835.22
1112,25778,25835.22
1113,25778,25835.22
1114,25778,25917.68
1115,25778,25917.68
1116,25778,25917.68
1117,25778,26013.04
1118,25778,26013.04
1119,25778,26013.04
1120,25778,26013.04
1121,25778,26013.04
1122,25778,26013.04
1123,25778,26013.04
1124,25778,26065.2
1125,25778,26065.2
1126,25778,26065.2
1127,25778,26065.2
1128,25778,26065.2
1129,25778,26065.2
1130,25778,26065.2
1131,25778,26084.74
1132,25778,26084.74
1133,25778,26084.74
1134,25778,26084.74
1135,25778,26084.74
1136,25778,26201.2
1137,25778,26149.2
1138,25778,26252.06
1139,25778,26252.06
1140,25778,26252.06
1141,25778,26252.06
1142,25778,26221.6
1143,25778,26301.98
1144,25778,26301.98
1145,25778,26301.98
1146,25778,26301.98
1147,25778,26311.2
1148,25778,26194.74
1149,25778,26286.54
1150,25778,26313.36
1151,25778,26313.36
1152,25778,26313.36
1153,25778,26313.36
1154,25778,26313.36
1155,25778,26313.36
1156,25778,26313.36
1157,25778,26313.36
1158,25778,26313.36
1159,25778,26335.42
1160,25778,26335.42
1161,25778,26335.42
1162,25778,26335.42
1163,25778,26335.42
1164,25778,26398.3
1165,25778,26378.76
1166,25778,26378.76
1167,25778,26434.26
1168,25778,26382.1
1169,25778,26382.1
1170,25778,26382.1
1171,25778,26301.72
1172,25778,26344.18
1173,25778,26288.68
1174,25778,26288.68
1175,25778,26288.68
1176,25778,26288.68
1177,25778,26288.68
1178,25778,26288.68
1179,25778,26231.46
1180,25778,26231.46
1181,25778,26231.46
1182,25778,26231.46
1183,25778,26231.46
1184,25778,26231.46
1185,25778,26231.46
1186,25778,26231.46
1187,25778,26168.58
1188,25778,26168.58
1189,25778,26065.72
1190,25778,26065.72
1191,25778,26065.72
1192,25778,26065.72
1193,25778,26171.36
1194,25778,26128.9
1195,25778,26128.9
1196,25778,26128.9
1197,25778,26106.84
1198,25778,26106.84
1199,25778,26106.84
1200,25778,26106.84
1201,25778,26106.84
1202,25778,26106.84
1203,25778,26106.84
1204,25778,26106.84
1205,25778,26106.84
1206,25778,26106.84
1207,25778,26106.84
1208,25778,26106.84
1209,25778,26106.84
1210,25778,26106.84
1211,25778,26106.84
1212,25778,26106.84
1213,25778,26106.84
1214,25778,26015.04
1215,25778,26015.04
1216,25778,26015.04
1217,25778,26015.04
1218,25778,26100.7
1219,25778,26156.62
1220,25778,26156.62
1221,25778,26156.62
1222,25778,26156.62
1223,25778,26156.62
1224,25778,26156.62
1225,25778,26224.08
1226,25778,26156.62
1227,25778,26156.62
1228,25778,26156.62
1229,25778,26156.62
1230,25778,26156.62
1231,25778,26156.62
1232,25778,26156.62
1233,25778,26156.62
1234,25778,26213.1
1235,25778,26157.18
1236,25778,26157.18
1237,25778,26157.18
1238,25778,26157.18
1239,25778,26157.18
1240,25778,26157.18
1241,25778,26157.18
1242,25778,26157.18
1243,25778,26157.18
1244,25778,26157.18
1245,25778,26157.18
1246,25778,26157.18
1247,25778,26157.18
1248,25778,26157.18
1249,25778,26157.18
1250,25778,26157.18
1251,25778,26157.18
1252,25778,26157.18
1253,25778,26130.36
1254,25778,26130.36
1255,25778,26130.36
1256,25778,26130.36
1257,25778,26130.36
1258,25778,26267.16
1259,25778,26267.16
1260,25778,26267.16
1261,25778,26267.16
1262,25778,26267.16
1263,25778,26267.16
1264,25778,26267.16
1265,25778,26267.16
1266,25778,26267.16
1267,25778,26267.16
1268,25778,26267.16
1269,25778,26267.16
1270,25778,26267.16
1271,25778,26284.88
1272,25778,26349.92
1273,25778,26349.92
1274,25778,26349.92
1275,25778,26293.44
1276,25778,26293.44
1277,25778,26293.44
1278,25778,26293.44
1279,25778,26293.44
1280,25778,26293.44
1281,25778,26293.44
1282,25778,26353.72
1283,25778,26353.72
1284,25778,26353.72
1285,25778,26353.72
1286,25778,26353.72
1287,25778,26353.72
1288,25778,26353.72
1289,25778,26353.72
1290,25778,26353.72
1291,25778,26353.72
1292,25778,26268.06
1293,25778,26268.06
1294,25778,26268.06
1295,25778,26162.42
1296,25778,26162.42
1297,25778,26162.42
1298,25778,26162.42
1299,25778,26162.42
1300,25778,26194.04
1301,25778,26162.42
1302,25778,26162.42
1303,25778,26162.42
1304,25778,26162.42
1305,25778,26183.92
1306,25778,26183.92
1307,25778,26061.62
1308,25778,26061.62
1309,25778,25924.82
1310,25778,25924.82
1311,25778,25924.82
1312,25778,25924.82
1313,25778,25924.82
1314,25778,25949.58
1315,25778,25949.58
1316,25778,25928.08
1317,25778,25928.08
1318,25778,25928.08
1319,25778,25928.08
1320,25778,25863.04
1321,25778,25863.04
1322,25778,25863.04
1323,25778,25978.04
1324,25778,25978.04
1325,25778,25978.04
1326,25778,25978.04
1327,25778,25978.04
1328,25778,25978.04
1329,25778,26043.16
1330,25778,26043.16
1331,25778,26043.16
1332,25778,25928.16
1333,25778,25928.16
1334,25778,25928.16
1335,25778,25928.16
1336,25778,25928.16
1337,25778,25928.16
1338,25778,25928.16
1339,25778,25928.16
1340,25778,25928.16
1341,25778,25928.16
1342,25778,25928.16
1343,25778,25928.16
1344,25778,25928.16
1345,25778,25928.16
1346,25778,25928.16
1347,25778,25928.16
1348,25778,25928.16
1349,25778,25928.16
1350,25778,25928.16
1351,25778,25995.44
1352,25778,25935.16
1353,25778,25935.16
1354,25778,25935.16
1355,25778,25935.16
1356,25778,25935.16
1357,25778,25935.16
