,Generation,Best Solution,CrossOver,Mutation,Iteration
1,10000,3103,SCX,IVM,18
0,20000,3103,SCX,IVM,18
2,1000,3021,SCX,SM,18
1,10000,3021,SCX,SM,18
0,20000,3021,SCX,SM,18
2,1000,3094,SCX,RM,18
1,10000,3094,SCX,RM,18
0,20000,3094,SCX,RM,18
2,1000,3112,OX,ISM,19
1,10000,3112,OX,ISM,19
0,20000,3112,OX,ISM,19
2,1000,3112,OX,IVM,19
1,10000,3112,OX,IVM,19
0,20000,3099,OX,IVM,19
2,1000,3112,OX,SM,19
1,10000,3112,OX,SM,19
0,20000,3112,OX,SM,19
2,1000,3200,OX,RM,19
1,10000,3196,OX,RM,19
0,20000,3196,OX,RM,19
2,1000,3147,SCX,ISM,19
1,10000,3147,SCX,ISM,19
0,20000,3147,SCX,ISM,19
2,1000,3147,SCX,IVM,19
1,10000,3147,SCX,IVM,19
0,20000,3147,SCX,IVM,19
2,1000,3147,SCX,SM,19
1,10000,3147,SCX,SM,19
0,20000,3147,SCX,SM,19
2,1000,3167,SCX,RM,19
1,10000,3000,SCX,RM,19
0,20000,2997,SCX,RM,19
2,1000,3240,OX,ISM,20
1,10000,3225,OX,ISM,20
0,20000,3225,OX,ISM,20
2,1000,3224,OX,IVM,20
1,10000,3188,OX,IVM,20
0,20000,3184,OX,IVM,20
2,1000,3243,OX,SM,20
1,10000,3243,OX,SM,20
0,20000,3243,OX,SM,20
2,1000,3575,OX,RM,20
1,10000,3405,OX,RM,20
0,20000,3382,OX,RM,20
2,1000,3122,SCX,ISM,20
1,10000,3122,SCX,ISM,20
0,20000,3122,SCX,ISM,20
2,1000,3188,SCX,IVM,20
1,10000,3188,SCX,IVM,20
0,20000,3125,SCX,IVM,20
2,1000,3188,SCX,SM,20
1,10000,3188,SCX,SM,20
0,20000,3188,SCX,SM,20
2,1000,3152,SCX,RM,20
1,10000,3152,SCX,RM,20
0,20000,3152,SCX,RM,20
2,1000,3668,OX,ISM,21
1,10000,3660,OX,ISM,21
0,20000,3647,OX,ISM,21
2,1000,3393,OX,IVM,21
1,10000,3351,OX,IVM,21
0,20000,3329,OX,IVM,21
2,1000,3695,OX,SM,21
1,10000,3695,OX,SM,21
0,20000,3471,OX,SM,21
2,1000,3215,OX,RM,21
1,10000,3215,OX,RM,21
0,20000,3215,OX,RM,21
2,1000,3060,SCX,ISM,21
1,10000,3060,SCX,ISM,21
0,20000,3060,SCX,ISM,21
2,1000,3060,SCX,IVM,21
1,10000,3060,SCX,IVM,21
0,20000,3060,SCX,IVM,21
2,1000,3060,SCX,SM,21
1,10000,3060,SCX,SM,21
0,20000,3060,SCX,SM,21
2,1000,3088,SCX,RM,21
1,10000,3085,SCX,RM,21
0,20000,3088,SCX,RM,21
2,1000,3824,OX,ISM,22
1,10000,3810,OX,ISM,22
0,20000,3656,OX,ISM,22
2,1000,3910,OX,IVM,22
1,10000,3900,OX,IVM,22
0,20000,3875,OX,IVM,22
2,1000,3843,OX,SM,22
1,10000,3834,OX,SM,22
0,20000,3834,OX,SM,22
2,1000,4357,OX,RM,22
1,10000,4305,OX,RM,22
0,20000,4300,OX,RM,22
2,1000,3125,SCX,ISM,22
1,10000,3125,SCX,ISM,22
0,20000,3125,SCX,ISM,22
2,1000,3125,SCX,IVM,22
1,10000,3070,SCX,IVM,22
0,20000,3070,SCX,IVM,22
2,1000,3154,SCX,SM,22
1,10000,3154,SCX,SM,22
0,20000,3154,SCX,SM,22
2,1000,3126,SCX,RM,22
1,10000,3133,SCX,RM,22
0,20000,3133,SCX,RM,22
2,1000,3906,OX,ISM,23
1,10000,3892,OX,ISM,23
0,20000,3810,OX,ISM,23
